Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
16-May-2018,1,Default,09:30,18:30,09:24:13,19:15:43,09:00,00:00,00:00,,0,09:24:13(in);19:15:43(in);,52,Present,P,1
17-May-2018,1,Default,09:30,18:30,09:24:06,,00:00,00:00,00:00,,0,09:24:06(in);,0,Present,P,1
16-May-2018,2,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,2
17-May-2018,2,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,2
16-May-2018,3,Default,09:30,18:30,10:50:46,18:27:42,07:37,01:21,00:00,,0,10:50:46(in);18:27:42(in);,0,1/2Present,1/2P,3
17-May-2018,3,Default,09:30,18:30,10:33:10,,00:00,01:03,00:00,,0,10:33:10(in);,0,Present,P,3
16-May-2018,4,Default,09:30,18:30,10:42:35,19:47:24,09:00,01:13,00:00,,0,10:42:35(in);19:47:24(in);,0,Present,P,4
17-May-2018,4,Default,09:30,18:30,10:30:39,,00:00,01:01,00:00,,0,10:30:39(in);,0,Present,P,4
16-May-2018,5,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,5
17-May-2018,5,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,5
16-May-2018,6,Default,09:30,18:30,09:05:58,18:08:10,09:00,00:00,00:22,,0,09:05:58(in);18:08:10(in);,0,Present,P,6
17-May-2018,6,Default,09:30,18:30,09:05:43,,00:00,00:00,00:00,,0,09:05:43(in);,0,Present,P,6
16-May-2018,7,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,7
17-May-2018,7,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,7
16-May-2018,8,Default,09:30,18:30,08:56:20,18:19:24,09:00,00:00,00:00,,0,08:56:20(in);18:19:24(in);,23,Present,P,8
17-May-2018,8,Default,09:30,18:30,08:57:37,,00:00,00:00,00:00,,0,08:57:37(in);,0,Present,P,8
16-May-2018,9,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,9
17-May-2018,9,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,9
16-May-2018,10,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,10
17-May-2018,10,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,10
16-May-2018,11,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,11
17-May-2018,11,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,11
16-May-2018,12,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,12
17-May-2018,12,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,12
16-May-2018,13,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,13
17-May-2018,13,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,13
16-May-2018,14,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,14
17-May-2018,14,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,14
16-May-2018,15,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,15
